"circuit","tournament","country","year","date","gender","match_num","w_player1","w_p1_birthdate","w_p1_age","w_p1_hgt","w_p1_country","w_player2","w_p2_birthdate","w_p2_age","w_p2_hgt","w_p2_country","w_rank","l_player1","l_p1_birthdate","l_p1_age","l_p1_hgt","l_p1_country","l_player2","l_p2_birthdate","l_p2_age","l_p2_hgt","l_p2_country","l_rank","score","duration","bracket","round","w_p1_tot_attacks","w_p1_tot_kills","w_p1_tot_errors","w_p1_tot_hitpct","w_p1_tot_aces","w_p1_tot_serve_errors","w_p1_tot_blocks","w_p1_tot_digs","w_p2_tot_attacks","w_p2_tot_kills","w_p2_tot_errors","w_p2_tot_hitpct","w_p2_tot_aces","w_p2_tot_serve_errors","w_p2_tot_blocks","w_p2_tot_digs","l_p1_tot_attacks","l_p1_tot_kills","l_p1_tot_errors","l_p1_tot_hitpct","l_p1_tot_aces","l_p1_tot_serve_errors","l_p1_tot_blocks","l_p1_tot_digs","l_p2_tot_attacks","l_p2_tot_kills","l_p2_tot_errors","l_p2_tot_hitpct","l_p2_tot_aces","l_p2_tot_serve_errors","l_p2_tot_blocks","l_p2_tot_digs"
"FIVB","Rhodes","Greece",2003,2003-06-04,"M",1,"Fabio Luiz Magalhaes",1979-03-13,24.2272416,80,"Brazil","Jose Loiola",1970-03-28,33.1854894,76,"Brazil",,"Paulao Moreira",1969-04-29,34.0971937,76,"Brazil","Paulo Emilio Silva",1969-12-14,33.4702259,75,"Brazil",,"21-8, 21-15","0:38","Country Quota Matches",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FIVB","Rhodes","Greece",2003,2003-06-04,"M",2,"Franco Neto",2066-11-11,36.5612594,76,"Brazil","Harley Marques",1974-07-06,28.9117043,76,"Brazil","8, Q1","Fabio Luiz Magalhaes",1979-03-13,24.2272416,80,"Brazil","Jose Loiola",1970-03-28,33.1854894,76,"Brazil",,"21-11, 23-21","0:46","Country Quota Matches",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FIVB","Rhodes","Greece",2003,2003-06-04,"M",3,"Brian Hiebert",1979-11-01,23.5893224,,"Canada","Josh Binstock",1981-01-12,22.3901437,77,"Canada","Q52","Dany Cote",1974-04-12,29.1444216,,"Canada","Pascal Cloutier",1974-05-04,29.0841889,,"Canada",,"21-17, 21-9","0:37","Country Quota Matches",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FIVB","Rhodes","Greece",2003,2003-06-04,"M",4,"Dimitrios Kelepouris",1976-12-19,26.4558522,79,"Greece","Konstantinos Aggelidis",1973-03-19,30.2094456,,"Greece","Q63","Panagiotis Dimitrakakos",1970-01-27,33.3497604,74,"Greece","Panagiotis Mavrakis",1970-01-18,33.3744011,,"Greece",,"12-21, 21-17, 15-10","0:49","Country Quota Matches",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FIVB","Rhodes","Greece",2003,2003-06-04,"M",5,"Athanasios Panousos",,,,"Greece","Petros Mylonas",,,,"Greece","Q62","Georgios Giatsis",2068-06-22,34.9486653,74,"Greece","Ilias Zolastathiadis",2067-04-13,36.1423682,73,"Greece",,"19-21, 21-15, 15-6","0:54","Country Quota Matches",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FIVB","Rhodes","Greece",2003,2003-06-04,"M",6,"Giannis Charitonidis",,,,"Greece","Ilias Arabatzis",2067-07-01,35.926078,75,"Greece","Q64","Nikos Kostakopoulos",,,,"Greece","Panagiotis Fotopoulos",1979-06-22,23.9507187,,"Greece",,"21-9, 21-12","0:33","Country Quota Matches",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FIVB","Rhodes","Greece",2003,2003-06-04,"M",7,"Espen Goranson",2068-07-15,34.8856947,78,"Norway","Kjell Goranson",1970-12-13,32.4736482,76,"Norway","Q13","Martin Engvik",1978-07-02,24.9226557,73,"Norway","Ole Martin Kleivenes",1973-12-05,29.4948665,,"Norway",,"21-15, 21-14","0:42","Country Quota Matches",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FIVB","Rhodes","Greece",2003,2003-06-04,"M",8,"Jarle Huseby",1973-11-11,29.5605749,76,"Norway","Tarjei Skarlund",1978-11-06,24.5749487,75,"Norway","Q17","Alexander Loberg",1977-09-25,25.6892539,74,"Norway","Bjorn Ingeborgrud",1979-10-28,23.6002738,74,"Norway",,"21-13, 21-19","0:34","Country Quota Matches",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FIVB","Rhodes","Greece",2003,2003-06-04,"M",9,"Alexei Verbov",1982-01-31,21.338809,,"Russia","Anton Kulikovsky",1982-03-04,21.2511978,,"Russia","Q47","Juriy Levkin",,,,"Russia","Mikhail Nikolaev",,,,"Russia",,"21-14, 21-18","0:35","Country Quota Matches",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FIVB","Rhodes","Greece",2003,2003-06-04,"M",10,"Philipp Reinmann",1979-02-14,24.3011636,75,"Switzerland","Tino Schutz",1978-05-22,25.0349076,75,"Switzerland","Q39","Clement Schoeb",1980-12-19,22.4558522,74,"Switzerland","Julien Dougoud",1981-02-13,22.3025325,,"Switzerland",,"21-12, 21-12","0:44","Country Quota Matches",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
