"circuit","tournament","country","year","date","gender","match_num","w_player1","w_p1_birthdate","w_p1_age","w_p1_hgt","w_p1_country","w_player2","w_p2_birthdate","w_p2_age","w_p2_hgt","w_p2_country","w_rank","l_player1","l_p1_birthdate","l_p1_age","l_p1_hgt","l_p1_country","l_player2","l_p2_birthdate","l_p2_age","l_p2_hgt","l_p2_country","l_rank","score","duration","bracket","round","w_p1_tot_attacks","w_p1_tot_kills","w_p1_tot_errors","w_p1_tot_hitpct","w_p1_tot_aces","w_p1_tot_serve_errors","w_p1_tot_blocks","w_p1_tot_digs","w_p2_tot_attacks","w_p2_tot_kills","w_p2_tot_errors","w_p2_tot_hitpct","w_p2_tot_aces","w_p2_tot_serve_errors","w_p2_tot_blocks","w_p2_tot_digs","l_p1_tot_attacks","l_p1_tot_kills","l_p1_tot_errors","l_p1_tot_hitpct","l_p1_tot_aces","l_p1_tot_serve_errors","l_p1_tot_blocks","l_p1_tot_digs","l_p2_tot_attacks","l_p2_tot_kills","l_p2_tot_errors","l_p2_tot_hitpct","l_p2_tot_aces","l_p2_tot_serve_errors","l_p2_tot_blocks","l_p2_tot_digs"
"FIVB","Tlaxcala","Mexico",2022,2022-03-16,"M",1,"Renato Lima",1999-12-01,22.2888433,76,"Brazil","Vitor Felipe",1991-03-10,31.0171116,76,"Brazil","12, Q1","Adam Roberts",1976-01-25,46.1382615,73,"United States","Cody Caldwell",1993-03-28,28.9664613,,"United States","Q32","21-10, 21-16","0:33","Qualifier Bracket","Round 1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FIVB","Tlaxcala","Mexico",2022,2022-03-16,"M",2,"Adrielson Dos Santos",1997-06-12,24.7583847,71,"Brazil","Arthur da Silva",1997-09-02,24.5338809,79,"Brazil","Q17","Ardis Bedritis",2000-07-10,21.6810404,77,"Latvia","Arturs Rinkevics",2001-01-11,21.174538,74,"Latvia","Q16","26-24, 21-18","0:41","Qualifier Bracket","Round 1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FIVB","Tlaxcala","Mexico",2022,2022-03-16,"M",3,"Andy Benesh",1995-03-14,27.0061602,81,"United States","Nick Lucena",1979-09-22,42.4804928,73,"United States","Q9","Hugo Campos",2000-11-11,21.3415469,73,"Portugal","Joao Pedrosa",2000-05-31,21.7905544,75,"Portugal","Q24","21-14, 21-18","0:38","Qualifier Bracket","Round 1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FIVB","Tlaxcala","Mexico",2022,2022-03-16,"M",4,"Christopher McHugh",1989-08-31,32.5393566,78,"Australia","Paul Burnett",1998-01-12,24.1724846,,"Australia","18, Q8","Mikolaj Miszczuk",2000-07-18,21.6591376,76,"Poland","Milosz Kruk",2000-09-18,21.4893908,79,"Poland","Q25","19-21, 21-19, 15-9","0:53","Qualifier Bracket","Round 1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FIVB","Tlaxcala","Mexico",2022,2022-03-16,"M",5,"Bruno Schmidt",1986-10-06,35.4414784,73,"Brazil","Saymon Barbosa",1993-09-08,28.5174538,79,"Brazil","17, Q5","Alejandro Huerta",1998-02-11,24.0903491,74,"Spain","Rene Giralt",1997-08-31,24.5393566,80,"Spain","Q28","21-18, 23-21","0:42","Qualifier Bracket","Round 1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FIVB","Tlaxcala","Mexico",2022,2022-03-16,"M",6,"Taylor Crabb",1992-01-26,30.1355236,72,"United States","Taylor Sander",1992-03-17,29.9958932,77,"United States","Q12","Edgars Tocs",1988-11-29,33.2922656,77,"Latvia","Kristians Fokerots",2005-01-31,17.119781,,"Latvia","Q21","28-26, 21-17","0:41","Qualifier Bracket","Round 1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FIVB","Tlaxcala","Mexico",2022,2022-03-16,"M",7,"Noe Aravena",2002-07-30,19.6276523,,"Chile","Vicente Droguett",2000-06-23,21.7275838,75,"Chile","21, Q13","Jakub Szalankiewicz",1989-05-03,32.8678987,75,"Poland","Mateusz Florczyk",2001-06-04,20.7802875,76,"Poland","Q20","21-16, 21-11","0:33","Qualifier Bracket","Round 1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FIVB","Tlaxcala","Mexico",2022,2022-03-16,"M",8,"Nicolas Capogrosso",1995-01-15,27.1649555,81,"Argentina","Tomas Capogrosso",2002-09-08,19.5181383,77,"Argentina","Q4","Logan Webber",1995-10-29,26.3791923,,"United States","Miles Evans",1989-11-12,32.3394935,76,"United States","Q29","21-19, 13-21, 15-13","0:45","Qualifier Bracket","Round 1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FIVB","Tlaxcala","Mexico",2022,2022-03-16,"M",9,"Chase Budinger",1988-05-22,33.8151951,79,"United States","Troy Field",1993-12-21,28.2327173,,"United States","Q3","Jose Cardenas",1998-05-26,23.8056126,72,"Mexico","Juan Espinoza",1999-03-11,23.0143737,74,"Mexico","Q30","21-18, 21-17","0:35","Qualifier Bracket","Round 1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FIVB","Tlaxcala","Mexico",2022,2022-03-16,"M",10,"Leon Luini",2000-11-19,21.3196441,78,"Netherlands","Ruben Penninga",1997-09-11,24.5092402,78,"Netherlands","23, Q19","Quentin Metral",1995-08-05,26.6119097,78,"Switzerland","Yves Haussener",1998-06-13,23.7563313,,"Switzerland","Q14","15-21, 21-18, 15-9","0:48","Qualifier Bracket","Round 1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FIVB","Tlaxcala","Mexico",2022,2022-03-16,"M",11,"Adrian Heidrich",1994-09-18,27.4907598,81,"Switzerland","Leo Dillier",2001-04-29,20.8788501,76,"Switzerland","Q11","Joaquin Bello",2000-07-20,21.6536619,72,"England","Luis Javier Bello",2000-07-20,21.6536619,70,"England","Q22","23-21, 22-20","0:46","Qualifier Bracket","Round 1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FIVB","Tlaxcala","Mexico",2022,2022-03-16,"M",12,"Mart van Werkhoven",1991-12-11,30.2614648,82,"Netherlands","Matthew Immers",2000-11-13,21.3360712,75,"Netherlands","24, Q27","Lukas Pfretzschner",2000-01-13,22.1711157,76,"Germany","Robin Sowa",1999-05-15,22.8364134,80,"Germany","Q6","21-18, 14-21, 15-7","0:46","Qualifier Bracket","Round 1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FIVB","Tlaxcala","Mexico",2022,2022-03-16,"M",13,"Jakub Zdybek",1995-10-11,26.4284736,75,"Poland","Pawel Lewandowski",,,76,"Poland","Q26","Esteban Grimalt",1991-01-09,31.1813826,75,"Chile","Marco Grimalt",1989-07-11,32.678987,77,"Chile","Q7","21-16, 21-19","0:37","Qualifier Bracket","Round 1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FIVB","Tlaxcala","Mexico",2022,2022-03-16,"M",14,"Arthur Mariano",1996-02-03,26.1136208,78,"Brazil","Pedro Solberg",1986-03-27,35.9698836,76,"Brazil","19, Q10","Jakub Sepka",2002-03-05,20.0301164,,"Czech Republic","Tomas Semerad",2002-11-18,19.3237509,,"Czech Republic","Q23","21-17, 21-14","0:36","Qualifier Bracket","Round 1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FIVB","Tlaxcala","Mexico",2022,2022-03-16,"M",15,"Daniel Dearing",1990-01-13,32.1697467,78,"Canada","Sam Schachter",1990-05-08,31.8548939,78,"Canada","22, Q18","Gianluca Dal Corso",2001-01-09,21.1800137,80,"Italy","Jakob Windisch",1999-03-20,22.9897331,79,"Italy","Q15","21-15, 21-18","0:35","Qualifier Bracket","Round 1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FIVB","Tlaxcala","Mexico",2022,2022-03-16,"M",16,"Timothy Brewster",2000-03-23,21.9794661,,"United States","Travis Mewhirter",1990-08-29,31.5455168,76,"United States","Q31","Jacob Brinck",1999-02-24,23.0554415,76,"Denmark","Kristoffer Abell",1994-11-10,27.3456537,80,"Denmark","Q2","21-19, 21-18","0:40","Qualifier Bracket","Round 1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FIVB","Tlaxcala","Mexico",2022,2022-03-16,"M",17,"Renato Lima",1999-12-01,22.2888433,76,"Brazil","Vitor Felipe",1991-03-10,31.0171116,76,"Brazil","12, Q1","Adrielson Dos Santos",1997-06-12,24.7583847,71,"Brazil","Arthur da Silva",1997-09-02,24.5338809,79,"Brazil","Q17","21-14, 21-18","0:38","Qualifier Bracket","Round 2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FIVB","Tlaxcala","Mexico",2022,2022-03-16,"M",18,"Christopher McHugh",1989-08-31,32.5393566,78,"Australia","Paul Burnett",1998-01-12,24.1724846,,"Australia","18, Q8","Andy Benesh",1995-03-14,27.0061602,81,"United States","Nick Lucena",1979-09-22,42.4804928,73,"United States","Q9","27-25, 21-15","0:39","Qualifier Bracket","Round 2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FIVB","Tlaxcala","Mexico",2022,2022-03-16,"M",19,"Bruno Schmidt",1986-10-06,35.4414784,73,"Brazil","Saymon Barbosa",1993-09-08,28.5174538,79,"Brazil","17, Q5","Taylor Crabb",1992-01-26,30.1355236,72,"United States","Taylor Sander",1992-03-17,29.9958932,77,"United States","Q12","23-25, 29-27, 15-12","1:06","Qualifier Bracket","Round 2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FIVB","Tlaxcala","Mexico",2022,2022-03-16,"M",20,"Noe Aravena",2002-07-30,19.6276523,,"Chile","Vicente Droguett",2000-06-23,21.7275838,75,"Chile","21, Q13","Nicolas Capogrosso",1995-01-15,27.1649555,81,"Argentina","Tomas Capogrosso",2002-09-08,19.5181383,77,"Argentina","Q4","21-17, 21-18","0:43","Qualifier Bracket","Round 2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
