"circuit","tournament","country","year","date","gender","match_num","w_player1","w_p1_birthdate","w_p1_age","w_p1_hgt","w_p1_country","w_player2","w_p2_birthdate","w_p2_age","w_p2_hgt","w_p2_country","w_rank","l_player1","l_p1_birthdate","l_p1_age","l_p1_hgt","l_p1_country","l_player2","l_p2_birthdate","l_p2_age","l_p2_hgt","l_p2_country","l_rank","score","duration","bracket","round","w_p1_tot_attacks","w_p1_tot_kills","w_p1_tot_errors","w_p1_tot_hitpct","w_p1_tot_aces","w_p1_tot_serve_errors","w_p1_tot_blocks","w_p1_tot_digs","w_p2_tot_attacks","w_p2_tot_kills","w_p2_tot_errors","w_p2_tot_hitpct","w_p2_tot_aces","w_p2_tot_serve_errors","w_p2_tot_blocks","w_p2_tot_digs","l_p1_tot_attacks","l_p1_tot_kills","l_p1_tot_errors","l_p1_tot_hitpct","l_p1_tot_aces","l_p1_tot_serve_errors","l_p1_tot_blocks","l_p1_tot_digs","l_p2_tot_attacks","l_p2_tot_kills","l_p2_tot_errors","l_p2_tot_hitpct","l_p2_tot_aces","l_p2_tot_serve_errors","l_p2_tot_blocks","l_p2_tot_digs"
"AVP","Fort Lauderdale","United States",2010,2010-04-16,"M",2,"Brook Billings",1980-04-30,29.9603012,77,"United States","Damien Scott",1983-06-08,26.8555784,77,"United States","Q65","Andy Reichenbach",1979-06-23,30.8145106,,"United States","Jonathan Berkey",1977-05-25,32.8925394,70,"United States","Q64","21-14, 21-17","0:40","Qualifier Bracket","Round 1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"AVP","Fort Lauderdale","United States",2010,2010-04-16,"M",65,"Justin Phipps",1978-05-09,31.9370294,74,"United States","Matt Henderson",1977-06-24,32.8104038,,"United States","25, Q1","Brook Billings",1980-04-30,29.9603012,77,"United States","Damien Scott",1983-06-08,26.8555784,77,"United States","Q65","21-13, 16-21, 15-11","0:54","Qualifier Bracket","Round 2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"AVP","Fort Lauderdale","United States",2010,2010-04-16,"M",66,"Alex Padilla",1974-04-04,36.0328542,75,"United States","Ozz Borges",1985-01-12,25.2566735,77,"Virgin Islands","Q32","Derek Sorensen",1982-07-31,27.7097878,72,"United States","Robert deAurora",1981-03-28,29.0513347,76,"United States","Q33","21-17, 21-19","0:43","Qualifier Bracket","Round 2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"AVP","Fort Lauderdale","United States",2010,2010-04-16,"M",67,"Chris Keen",1980-10-06,29.5249829,74,"United States","Jody Pigford",1981-07-14,28.7556468,75,"United States","Q48","Kevin Beukema",1980-02-20,30.1519507,75,"United States","Stephen Keffer",1984-05-21,25.9028063,74,"United States","Q17","21-15, 16-21, 17-15","1:00","Qualifier Bracket","Round 2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"AVP","Fort Lauderdale","United States",2010,2010-04-16,"M",68,"Matt Heagy",1980-02-05,30.1930185,76,"United States","Tony Pray",1976-03-09,34.1026694,76,"United States","Q16","Gabriel Howard",1982-07-29,27.7152635,,"United States","Joey Shimkonis",1971-02-18,39.156742,72,"United States","Q49","21-16, 21-9","0:41","Qualifier Bracket","Round 2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"AVP","Fort Lauderdale","United States",2010,2010-04-16,"M",69,"Gaston Macau",1974-10-28,35.4661191,73,"United States","Ranse Jones",,,73,"United States","29, Q9","James Fellows",1971-06-26,38.8062971,77,"United States","Pete DiVenere",1971-02-27,39.1321013,74,"United States","Q56","21-15, 21-12","0:41","Qualifier Bracket","Round 2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"AVP","Fort Lauderdale","United States",2010,2010-04-16,"M",70,"Gregory Hunter",1986-02-15,24.164271,70,"United States","TJ Cloud",1984-06-19,25.8234086,,"United States","Q41","Brett Benfield",1973-01-28,37.2128679,74,"United States","John Krejczyk",1977-07-21,32.7364819,80,"United States","Q24","21-13, 21-16","0:38","Qualifier Bracket","Round 2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"AVP","Fort Lauderdale","United States",2010,2010-04-16,"M",71,"Jake Elliott",1975-09-27,34.5516769,73,"United States","Jim Walls",1978-03-26,32.0574949,75,"United States","Q25","Ben Diggins",1979-06-13,30.8418891,,"United States","Chris Littleman",1982-03-13,28.0930869,74,"United States","Q40","21-13, 21-14","0:35","Qualifier Bracket","Round 2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"AVP","Fort Lauderdale","United States",2010,2010-04-16,"M",72,"Sam Haghighi",1973-01-05,37.2758385,75,"United States","Travis Schoonover",1982-12-10,27.3483915,75,"United States","Q8","Bobby Mitchell",1974-08-10,35.6824093,73,"United States","Josh Marsh",1973-03-19,37.0759754,74,"United States","Q57","21-7, 21-8","0:30","Qualifier Bracket","Round 2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"AVP","Fort Lauderdale","United States",2010,2010-04-16,"M",73,"Jason Wight",1979-07-21,30.7378508,72,"United States","Seth Burnham",1977-05-31,32.8761123,79,"United States","31, Q5","Mark Manning",1975-10-06,34.5270363,,"United States","Paul Christopher",1976-12-31,33.2895277,,"United States","Q60","21-18, 21-12","0:40","Qualifier Bracket","Round 2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
