"circuit","tournament","country","year","date","gender","match_num","w_player1","w_p1_birthdate","w_p1_age","w_p1_hgt","w_p1_country","w_player2","w_p2_birthdate","w_p2_age","w_p2_hgt","w_p2_country","w_rank","l_player1","l_p1_birthdate","l_p1_age","l_p1_hgt","l_p1_country","l_player2","l_p2_birthdate","l_p2_age","l_p2_hgt","l_p2_country","l_rank","score","duration","bracket","round","w_p1_tot_attacks","w_p1_tot_kills","w_p1_tot_errors","w_p1_tot_hitpct","w_p1_tot_aces","w_p1_tot_serve_errors","w_p1_tot_blocks","w_p1_tot_digs","w_p2_tot_attacks","w_p2_tot_kills","w_p2_tot_errors","w_p2_tot_hitpct","w_p2_tot_aces","w_p2_tot_serve_errors","w_p2_tot_blocks","w_p2_tot_digs","l_p1_tot_attacks","l_p1_tot_kills","l_p1_tot_errors","l_p1_tot_hitpct","l_p1_tot_aces","l_p1_tot_serve_errors","l_p1_tot_blocks","l_p1_tot_digs","l_p2_tot_attacks","l_p2_tot_kills","l_p2_tot_errors","l_p2_tot_hitpct","l_p2_tot_aces","l_p2_tot_serve_errors","l_p2_tot_blocks","l_p2_tot_digs"
"AVP","New Orleans","United States",2015,2015-05-21,"M",2,"Chris McDonald",1989-05-17,26.0095825,71,"United States","Drew Pitlik",1983-07-18,31.8412047,,"United States","Q33","Joey Keener",1975-06-10,39.945243,73,"United States","Matthew Nelson",1996-08-31,18.7186858,78,"United States","Q32","21-16, 22-20","0:53","Qualifier Bracket","Round 1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"AVP","New Orleans","United States",2015,2015-05-21,"M",6,"Bryce Mayer",1990-08-06,24.788501,74,"United States","Dillon Lesniak",1990-05-24,24.991102,,"Virgin Islands","Q24","John Hamilton",1993-05-25,21.9876797,,"United States","Travis Mewhirter",1990-08-29,24.7255305,76,"United States","Q41","21-19, 21-14","0:37","Qualifier Bracket","Round 1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"AVP","New Orleans","United States",2015,2015-05-21,"M",7,"Hylas Smith",1984-11-18,30.5023956,73,"United States","Matt Jones",1990-01-07,25.3661875,75,"United States","Q25","Jake Koch",1987-05-13,28.0219028,,"United States","Shawn Ledig",1975-10-27,39.5646817,77,"United States","Q40","19-21, 21-10, 15-11","0:53","Qualifier Bracket","Round 1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"AVP","New Orleans","United States",2015,2015-05-21,"M",10,"Derek Zimmerman",1974-10-14,40.5995893,74,"United States","Evan Cory",1997-11-14,17.5140315,75,"United States","Q28","Brandon Keim",1993-12-16,21.4264203,68,"United States","Cameron Keim",1997-06-12,17.9383984,72,"United States","Q37","32-30, 19-21, 15-10","1:13","Qualifier Bracket","Round 1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"AVP","New Orleans","United States",2015,2015-05-21,"M",15,"Chip Elliott",1986-05-10,29.0294319,73,"United States","Matt Blanke",1990-09-06,24.7036277,74,"United States","Q36","Kristopher Back",1986-09-21,28.6625599,,"United States","Norge Puentes",1993-08-11,21.7741273,,"United States","Q29","13-21, 21-19, 15-9","0:55","Qualifier Bracket","Round 1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"AVP","New Orleans","United States",2015,2015-05-21,"M",18,"Connor Hastings",1986-08-03,28.7967146,75,"United States","Kevin Lynch",1984-02-02,31.2963723,76,"United States","Q30","Spencer McLachlin",1988-06-23,26.9075975,79,"United States","Taylor Crabb",1992-01-26,23.3155373,72,"United States","Q35","16-21, 21-19, 19-17","0:52","Qualifier Bracket","Round 1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"AVP","New Orleans","United States",2015,2015-05-21,"M",23,"Jordan Merceron",1990-04-12,25.1060917,,"United States","Nathan Black",1978-06-20,36.91718,74,"United States","Q38","Eric Khozindar",1985-05-31,29.9712526,75,"United States","Ron Browning",1970-01-25,45.3169062,,"United States","Q27","18-21, 21-15, 15-10","0:56","Qualifier Bracket","Round 1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"AVP","New Orleans","United States",2015,2015-05-21,"M",26,"Houston Neal",1987-04-07,28.1204654,,"United States","Scott Brown",1978-11-12,36.5201916,,"United States","Q26","Ryan D'Amico",1987-02-13,28.2655715,71,"United States","Ryan Evans",1983-01-18,32.3367556,76,"United States","Q39","21-17, 21-9","0:34","Qualifier Bracket","Round 1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"AVP","New Orleans","United States",2015,2015-05-21,"M",27,"Bryce Powers",1986-09-29,28.6406571,,"United States","James Donegan",1990-01-25,25.3169062,,"United States","Q42","Mike Fiorentino",1973-03-04,42.2121834,70,"United States","Will Buchanan",1988-10-21,26.5790554,72,"United States","Q23","21-17, 21-19","0:37","Qualifier Bracket","Round 1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"AVP","New Orleans","United States",2015,2015-05-21,"M",31,"Judd Smith",1978-09-05,36.7063655,,"United States","Justin Beach",1979-12-28,35.394935,78,"United States","Q31","Christopher Gass",1986-02-06,29.284052,80,"United States","Jeremy Ayers",1982-04-20,33.0841889,76,"United States","Q34","21-18, 22-20","0:47","Qualifier Bracket","Round 1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
