"circuit","tournament","country","year","date","gender","match_num","w_player1","w_p1_birthdate","w_p1_age","w_p1_hgt","w_p1_country","w_player2","w_p2_birthdate","w_p2_age","w_p2_hgt","w_p2_country","w_rank","l_player1","l_p1_birthdate","l_p1_age","l_p1_hgt","l_p1_country","l_player2","l_p2_birthdate","l_p2_age","l_p2_hgt","l_p2_country","l_rank","score","duration","bracket","round","w_p1_tot_attacks","w_p1_tot_kills","w_p1_tot_errors","w_p1_tot_hitpct","w_p1_tot_aces","w_p1_tot_serve_errors","w_p1_tot_blocks","w_p1_tot_digs","w_p2_tot_attacks","w_p2_tot_kills","w_p2_tot_errors","w_p2_tot_hitpct","w_p2_tot_aces","w_p2_tot_serve_errors","w_p2_tot_blocks","w_p2_tot_digs","l_p1_tot_attacks","l_p1_tot_kills","l_p1_tot_errors","l_p1_tot_hitpct","l_p1_tot_aces","l_p1_tot_serve_errors","l_p1_tot_blocks","l_p1_tot_digs","l_p2_tot_attacks","l_p2_tot_kills","l_p2_tot_errors","l_p2_tot_hitpct","l_p2_tot_aces","l_p2_tot_serve_errors","l_p2_tot_blocks","l_p2_tot_digs"
"AVP","Fort Lauderdale","United States",2006,2006-03-31,"M",2,"Darren Baker",1980-07-23,25.6865161,77,"United States","Matthew Baker",1982-05-29,23.8384668,77,"United States","Q65","Donnell Malone",1973-01-09,33.2210815,,"United States","Heath Griffin",1973-02-03,33.1526352,75,"United States","Q64","21-15, 21-14","0:43","Qualifier Bracket","Round 1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"AVP","Fort Lauderdale","United States",2006,2006-03-31,"M",6,"James Fellows",1971-06-26,34.7624914,77,"United States","Pete DiVenere",1971-02-27,35.0882957,74,"United States","Q48","Chase Andrews",1974-09-04,31.5701574,74,"United States","Dave Merrill",1973-05-07,32.8980151,72,"United States","Q81","21-17, 21-19","0:45","Qualifier Bracket","Round 1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"AVP","Fort Lauderdale","United States",2006,2006-03-31,"M",7,"Paul MacDonald",1980-04-03,25.9904175,74,"United States","Sean Mackin",1977-02-26,29.0896646,75,"United States","Q80","Bryan Gibson",1971-09-03,34.5735797,74,"United States","Keith Jones",2063-11-20,42.3600274,74,"United States","Q49","21-18, 21-18","0:49","Qualifier Bracket","Round 1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"AVP","Fort Lauderdale","United States",2006,2006-03-31,"M",10,"Bobby Jones",1978-12-09,27.3073238,70,"United States","Cabil Gibbs",1979-04-11,26.9705681,,"United States","Q56","Andrew Mack",1981-04-29,24.9199179,78,"United States","Donovan Dana",,,,"United States","Q73","21-15, 21-12","0:41","Qualifier Bracket","Round 1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"AVP","Fort Lauderdale","United States",2006,2006-03-31,"M",11,"James Wright",1982-06-03,23.8247775,78,"United States","Juan Cabeza",1978-07-08,27.7289528,74,"United States","Q41","Cory Anfinson",1973-07-10,32.7227926,77,"United States","Thea Chaplin",1975-10-08,30.477755,,"United States","Q88","21-8, 21-14","0:36","Qualifier Bracket","Round 1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"AVP","Fort Lauderdale","United States",2006,2006-03-31,"M",14,"Curtis Rollins",1972-11-23,33.3497604,74,"United States","Dave Roberson",1969-04-17,36.9527721,,"United States","Q40","Donny Bass",1980-11-20,25.357974,75,"United States","Garrett Rasmussen",1971-09-05,34.568104,70,"United States","Q89","21-14, 21-11","0:40","Qualifier Bracket","Round 1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"AVP","Fort Lauderdale","United States",2006,2006-03-31,"M",15,"Jeff Long",1973-09-29,32.5010267,,"United States","Joey Shimkonis",1971-02-18,35.1129363,72,"United States","Q57","Chris Sweat",1984-12-17,21.284052,,"United States","Nicholas Sweat",1984-12-17,21.284052,69,"United States","Q72","21-18, 21-15","0:40","Qualifier Bracket","Round 1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"AVP","Fort Lauderdale","United States",2006,2006-03-31,"M",18,"Jason Greenlaw",1976-07-24,29.6837782,,"United States","Jeff Skipper",1974-12-06,31.3155373,73,"United States","Q69","Alex Padilla",1974-04-04,31.9890486,75,"United States","Tim Ryan",1978-08-26,27.5947981,72,"United States","Q60","23-21, 21-18","0:45","Qualifier Bracket","Round 1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"AVP","Fort Lauderdale","United States",2006,2006-03-31,"M",19,"David DiPierro",1975-11-06,30.3983573,73,"United States","Kevin Craig",1974-06-27,31.7590691,77,"United States","Q37","Joe Rohr",1974-05-26,31.8466804,76,"United States","Mike Morales",1974-04-22,31.9397673,72,"United States","Q92","Forfeit or other",,"Qualifier Bracket","Round 1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"AVP","Fort Lauderdale","United States",2006,2006-03-31,"M",22,"Jay Mears",1971-02-02,35.156742,69,"United States","Leon Lucas",1971-05-05,34.9048597,79,"United States","Q44","David Ferroulo",1972-11-09,33.3880903,,"United States","John Krejczyk",1977-07-21,28.6926762,80,"United States","Q85","0-21, 21-14, 15-5","0:29","Qualifier Bracket","Round 1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
