"circuit","tournament","country","year","date","gender","match_num","w_player1","w_p1_birthdate","w_p1_age","w_p1_hgt","w_p1_country","w_player2","w_p2_birthdate","w_p2_age","w_p2_hgt","w_p2_country","w_rank","l_player1","l_p1_birthdate","l_p1_age","l_p1_hgt","l_p1_country","l_player2","l_p2_birthdate","l_p2_age","l_p2_hgt","l_p2_country","l_rank","score","duration","bracket","round","w_p1_tot_attacks","w_p1_tot_kills","w_p1_tot_errors","w_p1_tot_hitpct","w_p1_tot_aces","w_p1_tot_serve_errors","w_p1_tot_blocks","w_p1_tot_digs","w_p2_tot_attacks","w_p2_tot_kills","w_p2_tot_errors","w_p2_tot_hitpct","w_p2_tot_aces","w_p2_tot_serve_errors","w_p2_tot_blocks","w_p2_tot_digs","l_p1_tot_attacks","l_p1_tot_kills","l_p1_tot_errors","l_p1_tot_hitpct","l_p1_tot_aces","l_p1_tot_serve_errors","l_p1_tot_blocks","l_p1_tot_digs","l_p2_tot_attacks","l_p2_tot_kills","l_p2_tot_errors","l_p2_tot_hitpct","l_p2_tot_aces","l_p2_tot_serve_errors","l_p2_tot_blocks","l_p2_tot_digs"
"AVP","Long Beach","United States",2020,2020-07-17,"M",1,"Ed Ratledge",1976-12-16,43.5838467,80,"United States","Skylar del Sol",1990-10-10,29.7686516,,"United States","8, Q8","Piotr Marciniak",1986-10-01,33.7932923,78,"Poland","Roberto Rodriguez",1986-08-08,33.9411362,75,"Puerto Rico","Q9","21-13, 21-19","0:49","Qualifier Bracket","Round 1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"AVP","Long Beach","United States",2020,2020-07-17,"M",2,"Andy Benesh",1995-03-14,25.3442847,81,"United States","Eric Beranek",1996-07-21,23.9890486,,"United States","Q12","Avery Drost",1986-09-07,33.8590007,77,"United States","Ryan Doherty",1984-02-02,36.4544832,85,"United States","Q5","19-21, 21-16, 15-12","1:09","Qualifier Bracket","Round 1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"AVP","Long Beach","United States",2020,2020-07-17,"M",3,"Miles Partain",2001-12-18,18.5790554,,"United States","Ty Loomis",1979-05-01,41.2128679,75,"United States","Q11","Maddison McKibbin",1990-11-16,29.6673511,76,"United States","Riley McKibbin",1988-09-09,31.8521561,74,"United States","Q6","21-18, 21-13","0:55","Qualifier Bracket","Round 1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"AVP","Long Beach","United States",2020,2020-07-17,"M",4,"Billy Kolinske",1986-08-06,33.9466119,78,"United States","Sean Rosenthal",1980-06-19,40.0766598,76,"United States","Q7","Chase Frishman",1991-05-29,29.1362081,72,"United States","Michael Brunsting",1992-06-11,28.0985626,,"United States","Q10","21-15, 21-16","0:48","Qualifier Bracket","Round 1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"AVP","Long Beach","United States",2020,2020-07-17,"M",5,"Ed Ratledge",1976-12-16,43.5838467,80,"United States","Skylar del Sol",1990-10-10,29.7686516,,"United States","8, Q8","Miles Evans",1989-11-12,30.6776181,76,"United States","Ricardo Santos",1975-01-06,45.5277207,79,"Brazil","Q1","13-21, 25-23, 15-6","1:03","Qualifier Bracket","Round 2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"AVP","Long Beach","United States",2020,2020-07-17,"M",6,"Andy Benesh",1995-03-14,25.3442847,81,"United States","Eric Beranek",1996-07-21,23.9890486,,"United States","Q12","Tim Bomgren",1987-06-01,33.1279945,76,"United States","Troy Field",1993-12-21,26.5708419,,"United States","Q4","15-21, 21-16, 18-16","1:10","Qualifier Bracket","Round 2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"AVP","Long Beach","United States",2020,2020-07-17,"M",7,"Billy Allen",1981-10-15,38.7542779,74,"United States","Stafford Slick",1985-01-04,35.5318275,80,"United States","7, Q3","Miles Partain",2001-12-18,18.5790554,,"United States","Ty Loomis",1979-05-01,41.2128679,75,"United States","Q11","21-18, 21-17","0:57","Qualifier Bracket","Round 2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"AVP","Long Beach","United States",2020,2020-07-17,"M",8,"David Lee",1982-03-08,38.3600274,80,"United States","Reid Priddy",1977-10-01,42.7926078,76,"United States","Q2","Billy Kolinske",1986-08-06,33.9466119,78,"United States","Sean Rosenthal",1980-06-19,40.0766598,76,"United States","Q7","16-21, 27-25, 15-10","1:24","Qualifier Bracket","Round 2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"AVP","Long Beach","United States",2020,2020-07-17,"M",9,"Ed Ratledge",1976-12-16,43.5838467,80,"United States","Skylar del Sol",1990-10-10,29.7686516,,"United States","8, Q8","Andy Benesh",1995-03-14,25.3442847,81,"United States","Eric Beranek",1996-07-21,23.9890486,,"United States","Q12","21-18, 21-19","0:53","Qualifier Bracket","Round 3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"AVP","Long Beach","United States",2020,2020-07-17,"M",10,"Billy Allen",1981-10-15,38.7542779,74,"United States","Stafford Slick",1985-01-04,35.5318275,80,"United States","7, Q3","David Lee",1982-03-08,38.3600274,80,"United States","Reid Priddy",1977-10-01,42.7926078,76,"United States","Q2","21-14, 21-18","0:44","Qualifier Bracket","Round 3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
