"circuit","tournament","country","year","date","gender","match_num","w_player1","w_p1_birthdate","w_p1_age","w_p1_hgt","w_p1_country","w_player2","w_p2_birthdate","w_p2_age","w_p2_hgt","w_p2_country","w_rank","l_player1","l_p1_birthdate","l_p1_age","l_p1_hgt","l_p1_country","l_player2","l_p2_birthdate","l_p2_age","l_p2_hgt","l_p2_country","l_rank","score","duration","bracket","round","w_p1_tot_attacks","w_p1_tot_kills","w_p1_tot_errors","w_p1_tot_hitpct","w_p1_tot_aces","w_p1_tot_serve_errors","w_p1_tot_blocks","w_p1_tot_digs","w_p2_tot_attacks","w_p2_tot_kills","w_p2_tot_errors","w_p2_tot_hitpct","w_p2_tot_aces","w_p2_tot_serve_errors","w_p2_tot_blocks","w_p2_tot_digs","l_p1_tot_attacks","l_p1_tot_kills","l_p1_tot_errors","l_p1_tot_hitpct","l_p1_tot_aces","l_p1_tot_serve_errors","l_p1_tot_blocks","l_p1_tot_digs","l_p2_tot_attacks","l_p2_tot_kills","l_p2_tot_errors","l_p2_tot_hitpct","l_p2_tot_aces","l_p2_tot_serve_errors","l_p2_tot_blocks","l_p2_tot_digs"
"AVP","Atlanta","United States",2021,2021-08-11,"M",2,"Jack Turner",,,,"United States","Ryan VonSchlobohm",1999-03-23,22.3874059,,"United States","Q57","Guille Jimenez",1997-08-31,23.945243,72,"United States","Jackson Arnold",,,,"United States","Q56","Forfeit or other",,"Qualifier Bracket","Round 1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"AVP","Atlanta","United States",2021,2021-08-11,"M",15,"Alex Vohland",1994-08-10,27.0034223,77,"United States","Cosby Sand",,,,"United States","Q60","Christopher Shipps",1972-09-04,48.9336071,,"United States","Matt Corrales",,,,"United States","Q53","21-11, 21-15","0:52","Qualifier Bracket","Round 1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"AVP","Atlanta","United States",2021,2021-08-11,"M",18,"Alex Ukkelberg",1994-04-22,27.3045859,72,"United States","Spencer Loch",,,76,"United States","Q54","Justin Whipple",,,,"United States","Robert Leever",,,,"United States","Q59","21-16, 21-12","0:40","Qualifier Bracket","Round 1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"AVP","Atlanta","United States",2021,2021-08-11,"M",31,"Connor Kleminsky",,,,"United States","Nate Mehl",1996-07-13,25.0787132,76,"United States","Q55","August Brittain",,,,"United States","Garrett Bigg",,,,"United States","Q58","Forfeit or other",,"Qualifier Bracket","Round 1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"AVP","Atlanta","United States",2021,2021-08-11,"M",33,"Caleb Kwekel",2002-07-27,19.0417522,,"United States","Ryan Lehmann",1990-07-10,31.0882957,,"United States","Q25","Jack Turner",,,,"United States","Ryan VonSchlobohm",1999-03-23,22.3874059,,"United States","Q57","21-10, 21-11","0:41","Qualifier Bracket","Round 2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"AVP","Atlanta","United States",2021,2021-08-11,"M",34,"Brandon Severyn",1994-10-19,26.8117728,,"United States","George Gutierrez",1989-05-12,32.2491444,,"United States","Q40","Francisco Quesada-Paneque",1989-09-24,31.8795346,,"United States","Jerel Deacon",1989-03-31,32.3641342,,"United States","Q41","Forfeit or other",,"Qualifier Bracket","Round 2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"AVP","Atlanta","United States",2021,2021-08-11,"M",35,"Kristopher Back",1986-09-21,34.8884326,,"United States","Peyten Young",,,,"United States","Q33","Kevin Owens",1991-11-24,29.7138946,81,"United States","Nathaniel Berg",1986-07-07,35.0965092,,"United States","Q48","21-18, 21-17","0:39","Qualifier Bracket","Round 2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"AVP","Atlanta","United States",2021,2021-08-11,"M",36,"Ian Bicko",1991-03-02,30.4449008,,"United States","Joel Feldkamp",1992-02-28,29.4510609,,"United States","Q32","Josh McDonald",1997-04-05,24.3504449,76,"United States","Scott Herron",,,,"United States","Q49","17-21, 21-15, 15-10","0:52","Qualifier Bracket","Round 2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"AVP","Atlanta","United States",2021,2021-08-11,"M",37,"Bryce Mayer",1990-08-06,31.0143737,74,"United States","Frank Field",1995-04-27,26.2915811,,"United States","Q29","Joseph Alaimo",,,,"United States","Samuel Ferrill",,,,"United States","Q52","21-17, 21-9","0:36","Qualifier Bracket","Round 2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"AVP","Atlanta","United States",2021,2021-08-11,"M",38,"Larry Salefsky",1985-12-12,35.6632444,,"United States","Philip Burrow",1984-05-29,37.2019165,,"United States","Q36","Alec Ingraham",1994-09-21,26.8884326,,"United States","Blake Stewart",1995-01-05,26.5982204,,"United States","Q45","21-16, 21-16","0:47","Qualifier Bracket","Round 2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
