"circuit","tournament","country","year","date","gender","match_num","w_player1","w_p1_birthdate","w_p1_age","w_p1_hgt","w_p1_country","w_player2","w_p2_birthdate","w_p2_age","w_p2_hgt","w_p2_country","w_rank","l_player1","l_p1_birthdate","l_p1_age","l_p1_hgt","l_p1_country","l_player2","l_p2_birthdate","l_p2_age","l_p2_hgt","l_p2_country","l_rank","score","duration","bracket","round","w_p1_tot_attacks","w_p1_tot_kills","w_p1_tot_errors","w_p1_tot_hitpct","w_p1_tot_aces","w_p1_tot_serve_errors","w_p1_tot_blocks","w_p1_tot_digs","w_p2_tot_attacks","w_p2_tot_kills","w_p2_tot_errors","w_p2_tot_hitpct","w_p2_tot_aces","w_p2_tot_serve_errors","w_p2_tot_blocks","w_p2_tot_digs","l_p1_tot_attacks","l_p1_tot_kills","l_p1_tot_errors","l_p1_tot_hitpct","l_p1_tot_aces","l_p1_tot_serve_errors","l_p1_tot_blocks","l_p1_tot_digs","l_p2_tot_attacks","l_p2_tot_kills","l_p2_tot_errors","l_p2_tot_hitpct","l_p2_tot_aces","l_p2_tot_serve_errors","l_p2_tot_blocks","l_p2_tot_digs"
"FIVB","Macau","Macao",2001,2001-04-04,"W",2,"Dianne DeNecochea",2067-11-16,33.3826146,76,"United States","Wendy Stammer",2065-02-11,36.1423682,72,"United States","30, Q16","Lai Ming Tong",1973-04-04,28,,"Hong Kong","Ming Mei Tang",1969-07-06,31.7453799,,"Hong Kong","Q17","21-11, 21-8","0:23","Qualifier Bracket","Round 1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FIVB","Macau","Macao",2001,2001-04-04,"W",7,"Cecilie Josefsen",1980-05-03,20.9199179,70,"Norway","Ingrid Torlen",1979-07-21,21.705681,69,"Norway","Q13","Hilde Schjerven",1972-07-15,28.7200548,70,"Norway","Synnove Oyra",1975-02-12,26.1409993,68,"Norway","Q20","19-21, 21-19, 15-12","0:58","Qualifier Bracket","Round 1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FIVB","Macau","Macao",2001,2001-04-04,"W",10,"Jing Zhang",,,,"China","Wen Juan Wang",,,,"China","29, Q19","Fay Avery",1981-09-21,19.5345654,73,"Australia","Megan Avery",1981-09-21,19.5345654,74,"Australia","Q14","21-13, 21-17","0:35","Qualifier Bracket","Round 1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FIVB","Macau","Macao",2001,2001-04-04,"W",15,"Lucy Todd",1977-07-13,23.7262149,,"New Zealand","Sarah Drummond",,,,"New Zealand","31, Q18","Brigitte Stampfer",1976-10-21,24.4517454,69,"Austria","Michaela Meissinger",2066-10-07,34.4914442,67,"Austria","Q15","21-13, 19-21, 15-3","0:46","Qualifier Bracket","Round 1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FIVB","Macau","Macao",2001,2001-04-04,"W",17,"Dianne DeNecochea",2067-11-16,33.3826146,76,"United States","Wendy Stammer",2065-02-11,36.1423682,72,"United States","30, Q16","Leanne McSorley",1973-02-07,28.1533196,68,"United States","Nancy Reynolds",1970-11-24,30.3600274,69,"United States","Q1","21-14, 21-16","0:34","Qualifier Bracket","Round 2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FIVB","Macau","Macao",2001,2001-04-04,"W",18,"Lu Wang",1982-08-08,18.6557153,74,"China","Ying Li",1980-01-02,21.2539357,71,"China","26, Q8","Ni Na Yang",1985-03-03,16.0876112,,"China","Su Qian Luo",1976-02-04,25.1635866,,"China","Q9","21-17, 14-21, 15-13","0:52","Qualifier Bracket","Round 2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FIVB","Macau","Macao",2001,2001-04-04,"W",19,"Angie Simpson",1975-07-21,25.705681,70,"United States","Jennifer Kessy",1977-07-31,23.6769336,72,"United States","Q5","Kirsten Manley Casimir",1975-01-21,26.201232,,"Canada","Rachel Manley Casimir",1973-06-26,27.7727584,,"Canada","28, Q12","23-21, 21-13","0:39","Qualifier Bracket","Round 2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FIVB","Macau","Macao",2001,2001-04-04,"W",20,"Denise Koelliker",1970-11-04,30.4147844,67,"Switzerland","Karin Trussel",1976-02-03,25.1663244,70,"Switzerland","25, Q4","Cecilie Josefsen",1980-05-03,20.9199179,70,"Norway","Ingrid Torlen",1979-07-21,21.705681,69,"Norway","Q13","21-10, 21-15","0:34","Qualifier Bracket","Round 2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FIVB","Macau","Macao",2001,2001-04-04,"W",21,"Noriko Miyoshi",1970-05-13,30.8939083,,"Japan","Tomoko Ukigaya",1973-09-10,27.5646817,,"Japan","24, Q3","Jing Zhang",,,,"China","Wen Juan Wang",,,,"China","29, Q19","21-16, 21-12","0:29","Qualifier Bracket","Round 2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FIVB","Macau","Macao",2001,2001-04-04,"W",22,"Kylie Gerlic",1975-03-06,26.0807666,68,"Australia","Summer Lochowicz",1978-03-30,23.0143737,70,"Australia","27, Q6","Wang Pan",1984-08-17,16.6297057,,"China","Wenhui You",1979-10-20,21.4565366,70,"China","Q11","21-16, 22-20","0:34","Qualifier Bracket","Round 2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
