"circuit","tournament","country","year","date","gender","match_num","w_player1","w_p1_birthdate","w_p1_age","w_p1_hgt","w_p1_country","w_player2","w_p2_birthdate","w_p2_age","w_p2_hgt","w_p2_country","w_rank","l_player1","l_p1_birthdate","l_p1_age","l_p1_hgt","l_p1_country","l_player2","l_p2_birthdate","l_p2_age","l_p2_hgt","l_p2_country","l_rank","score","duration","bracket","round","w_p1_tot_attacks","w_p1_tot_kills","w_p1_tot_errors","w_p1_tot_hitpct","w_p1_tot_aces","w_p1_tot_serve_errors","w_p1_tot_blocks","w_p1_tot_digs","w_p2_tot_attacks","w_p2_tot_kills","w_p2_tot_errors","w_p2_tot_hitpct","w_p2_tot_aces","w_p2_tot_serve_errors","w_p2_tot_blocks","w_p2_tot_digs","l_p1_tot_attacks","l_p1_tot_kills","l_p1_tot_errors","l_p1_tot_hitpct","l_p1_tot_aces","l_p1_tot_serve_errors","l_p1_tot_blocks","l_p1_tot_digs","l_p2_tot_attacks","l_p2_tot_kills","l_p2_tot_errors","l_p2_tot_hitpct","l_p2_tot_aces","l_p2_tot_serve_errors","l_p2_tot_blocks","l_p2_tot_digs"
"AVP","Huntington Beach","United States",2019,2019-05-02,"M",2,"Graeme Cowgill",1983-07-06,35.8220397,,"United States","Justin Johnson",1990-08-05,28.7392197,,"United States","Q64","Ben Shassol",1992-06-11,26.8884326,,"United States","Kevin Froehlich",1991-01-15,28.29295,,"United States","Q65","21-12, 21-16","0:43","Qualifier Bracket","Round 1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"AVP","Huntington Beach","United States",2019,2019-05-02,"M",6,"Max Martin",1990-03-10,29.1444216,,"United States","Tomas Goldsmith",1990-12-23,28.3559206,,"United States","Q48","Brian Leonard",1993-04-28,26.0095825,,"United States","Parsa Rezvani",1996-05-24,22.9377139,,"United States","Q81","19-21, 21-14, 16-14","1:15","Qualifier Bracket","Round 1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"AVP","Huntington Beach","United States",2019,2019-05-02,"M",7,"Brandon Severyn",1994-10-19,24.5338809,,"United States","Garret Denney",1991-06-29,27.8412047,,"United States","Q49","Jason Smith",1969-03-21,50.1136208,72,"South Africa","Tyler Lucas",1984-03-27,35.0965092,73,"United States","Q80","22-20, 21-12","0:41","Qualifier Bracket","Round 1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"AVP","Huntington Beach","United States",2019,2019-05-02,"M",10,"Max Zhukov",1994-03-03,25.1635866,,"United States","Tanner Woods",1998-03-30,21.0896646,,"United States","Q73","Bobby Bomberg",1978-11-08,40.4791239,,"United States","Eric Johnson",1986-02-05,33.2347707,,"United States","Q56","21-17, 21-18","0:43","Qualifier Bracket","Round 1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"AVP","Huntington Beach","United States",2019,2019-05-02,"M",15,"Garrett Wilson",1990-06-07,28.9007529,80,"United States","Isaiah Acfalle",,,,"United States","Q57","Courtney Wilson",1991-07-26,27.7672827,,"United States","Jeff Urton",1983-01-09,36.3093771,,"United States","Q72","21-15, 21-17","0:38","Qualifier Bracket","Round 1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"AVP","Huntington Beach","United States",2019,2019-05-02,"M",18,"Brian Wells",1986-01-01,33.3305955,76,"United States","Steven Wells",1988-01-30,31.2525667,73,"United States","Q60","John Mosolf",1992-11-16,26.4558522,72,"United States","Max States",1994-09-29,24.5886379,73,"United States","Q69","21-16, 18-21, 15-12","0:59","Qualifier Bracket","Round 1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"AVP","Huntington Beach","United States",2019,2019-05-02,"M",22,"Jacob Landel",1991-10-23,27.523614,,"United States","Kylen Winterbotham",1992-12-11,26.3874059,,"United States","Q44","Brett Hartong",,,,"United States","Chris Hardwick",,,,"United States","Q85","21-4, 21-7","0:21","Qualifier Bracket","Round 1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"AVP","Huntington Beach","United States",2019,2019-05-02,"M",23,"Marcus Molina",1995-07-15,23.797399,,"United States","Phillip Rosenberg",1987-01-16,32.2902122,71,"United States","Q76","Joe Keller",1981-09-30,37.5852156,,"United States","John Sutton",1982-09-22,36.6078029,,"United States","Q53","21-18, 18-21, 15-9","1:00","Qualifier Bracket","Round 1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"AVP","Huntington Beach","United States",2019,2019-05-02,"M",26,"Alec Ingraham",1994-09-21,24.6105407,,"United States","Blake Stewart",1995-01-05,24.3203285,,"United States","Q52","Shane Collins",1986-12-24,32.3531828,,"United States","Taylor Storm",1987-06-11,31.890486,,"United States","Q77","21-15, 25-23","0:48","Qualifier Bracket","Round 1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"AVP","Huntington Beach","United States",2019,2019-05-02,"M",27,"Joey Shimkonis",1971-02-18,48.1998631,72,"United States","Neil Macklin",1976-11-16,42.4558522,,"United States","Q45","Cesar Martinez",1990-12-28,28.3422313,,"United States","Julio Bueno",1980-06-18,38.8692676,,"United States","Q84","21-13, 21-18","0:41","Qualifier Bracket","Round 1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"AVP","Huntington Beach","United States",2019,2019-05-02,"M",31,"Alexander Popoff",1984-12-04,34.4065708,,"United States","Marcus Duffey",1986-03-25,33.1033539,,"United States","Q68","Brice Paxson",1994-04-22,25.026694,,"United States","Garrett Roberts",1994-01-07,25.3141684,,"United States","Q61","16-21, 23-21, 15-13","1:08","Qualifier Bracket","Round 1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"AVP","Huntington Beach","United States",2019,2019-05-02,"M",34,"Alessio Signorini",1982-08-12,36.7200548,74,"United States","Ben Price",1993-11-02,25.4948665,,"United States","Q67","Michael Lubliner",1987-05-18,31.9561944,,"United States","Mikhail Butler",1994-07-21,24.7802875,,"United States","Q62","17-21, 22-20, 15-6","0:58","Qualifier Bracket","Round 1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"AVP","Huntington Beach","United States",2019,2019-05-02,"M",38,"Chris Flood",1991-08-17,27.70705,,"United States","Peter Nordel",1994-01-12,25.3004791,,"United States","Q83","Brendan Duff",1993-11-17,25.4537988,,"United States","David Rowker",1990-05-19,28.9527721,,"United States","Q46","17-21, 21-19, 15-13","1:05","Qualifier Bracket","Round 1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"AVP","Huntington Beach","United States",2019,2019-05-02,"M",39,"Anthony Unger",1986-07-14,32.7994524,,"United States","Daniel Samuelson",,,,,"Q51","Samusu Semo",1992-06-25,26.8501027,,"United States","Spencer Fournell",1991-03-21,28.1149897,,"United States","Q78","21-13, 21-18","0:33","Qualifier Bracket","Round 1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"AVP","Huntington Beach","United States",2019,2019-05-02,"M",42,"Bryce Easter",,,,"United States","Jarett Jensen",1980-12-25,38.349076,76,"United States","Q54","Cameron Gypsyn",1990-09-20,28.6132786,,"United States","Tim Shenkin",1993-08-31,25.6673511,,"United States","Q75","21-19, 21-17","0:36","Qualifier Bracket","Round 1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"AVP","Huntington Beach","United States",2019,2019-05-02,"M",47,"Jeff Steffens",1986-04-04,33.0759754,72,"United States","Szymon Tralka",1979-05-15,39.9644079,79,"Poland","Q59","Andres De Los Rios",1976-07-29,42.7570157,,"United States","Mika Hunkin",1970-01-19,49.2813142,,"United States","Q70","21-10, 21-9","0:37","Qualifier Bracket","Round 1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"AVP","Huntington Beach","United States",2019,2019-05-02,"M",50,"Nick DiMatteo",1993-03-25,26.1026694,,"United States","Ryan Olson",1992-10-20,26.5297741,,"United States","Q71","Jesse Webster",1981-02-04,38.2368241,78,"United States","Torin Jeffreys",1992-12-15,26.3764545,,"United States","Q58","21-23, 21-17, 15-13","0:58","Qualifier Bracket","Round 1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"AVP","Huntington Beach","United States",2019,2019-05-02,"M",55,"Luke McDonald",1995-10-08,23.5646817,,"United States","Wyatt Harrison",1999-06-27,19.8466804,,"United States","Q55","Mike Maghy",1987-09-21,31.6112252,74,"United States","Ossie Barreras",1977-08-29,41.6728268,,"Puerto Rico","Q74","21-15, 21-23, 15-8","1:06","Qualifier Bracket","Round 1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"AVP","Huntington Beach","United States",2019,2019-05-02,"M",58,"Aaron Wachtfogel",1981-11-08,37.4784394,73,"United States","Bill Strickland",1980-12-26,38.3463381,81,"United States","Q79","David McBride",1994-07-03,24.8295688,,"United States","Dylan Thomas",1993-11-11,25.4702259,,"United States","Q50","21-14, 21-23, 15-11","1:04","Qualifier Bracket","Round 1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"AVP","Huntington Beach","United States",2019,2019-05-02,"M",59,"David Stuart",1992-08-12,26.7186858,,"United States","Nate Allen",1982-11-08,36.4791239,,"United States","Q82","Alex Amylon",1990-05-18,28.9555099,,"United States","Ben Ponnet",1992-08-13,26.715948,76,"United States","Q47","21-17, 16-21, 15-11","0:58","Qualifier Bracket","Round 1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
