"circuit","tournament","country","year","date","gender","match_num","w_player1","w_p1_birthdate","w_p1_age","w_p1_hgt","w_p1_country","w_player2","w_p2_birthdate","w_p2_age","w_p2_hgt","w_p2_country","w_rank","l_player1","l_p1_birthdate","l_p1_age","l_p1_hgt","l_p1_country","l_player2","l_p2_birthdate","l_p2_age","l_p2_hgt","l_p2_country","l_rank","score","duration","bracket","round","w_p1_tot_attacks","w_p1_tot_kills","w_p1_tot_errors","w_p1_tot_hitpct","w_p1_tot_aces","w_p1_tot_serve_errors","w_p1_tot_blocks","w_p1_tot_digs","w_p2_tot_attacks","w_p2_tot_kills","w_p2_tot_errors","w_p2_tot_hitpct","w_p2_tot_aces","w_p2_tot_serve_errors","w_p2_tot_blocks","w_p2_tot_digs","l_p1_tot_attacks","l_p1_tot_kills","l_p1_tot_errors","l_p1_tot_hitpct","l_p1_tot_aces","l_p1_tot_serve_errors","l_p1_tot_blocks","l_p1_tot_digs","l_p2_tot_attacks","l_p2_tot_kills","l_p2_tot_errors","l_p2_tot_hitpct","l_p2_tot_aces","l_p2_tot_serve_errors","l_p2_tot_blocks","l_p2_tot_digs"
"AVP","Manhattan Beach","United States",2018,2018-08-16,"W",83,"Lexi McKeown",2000-03-17,18.4147844,,"United States","Nicole Reinking",1998-12-12,19.6769336,,"United States","Q19","Chelsea Ono Horn",1987-11-20,30.7378508,70,"United States","Jessica Troxell",1988-12-01,29.705681,70,"United States","Q46","21-14, 21-14","0:38","Qualifier Bracket","Round 2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"AVP","Manhattan Beach","United States",2018,2018-08-16,"W",84,"Haley Hallgren",1999-07-11,19.0992471,,"United States","Skylar Caputo",1996-11-29,21.7111567,70,"United States","Q14","Kiora Sanchez",2000-01-26,18.5544148,,"United States","Sierra Sanchez",1995-04-02,23.3730322,72,"United States","Q51","14-21, 21-10, 15-12","0:51","Qualifier Bracket","Round 2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"AVP","Manhattan Beach","United States",2018,2018-08-16,"W",85,"Heather Friesen",1992-11-19,25.7385352,73,"United States","Kristen Petrasic",1989-01-24,29.5578371,,"United States","Q11","Alicia Zamparelli-Flavia",1974-10-10,43.8494182,68,"United States","Aurora Skarra-Gallagher",1979-10-26,38.8062971,70,"United States","Q54","21-12, 23-21","0:53","Qualifier Bracket","Round 2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"AVP","Manhattan Beach","United States",2018,2018-08-16,"W",86,"Cecilia Agraz",1991-01-29,27.5455168,,"United States","Jade Hayes",1993-03-19,25.4099932,,"United States","Q22","Alexia Inman",1999-04-23,19.3155373,73,"United States","Maddie Micheletti",1999-02-28,19.4633812,,"United States","Q43","21-19, 21-15","0:45","Qualifier Bracket","Round 2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"AVP","Manhattan Beach","United States",2018,2018-08-16,"W",87,"Nina Marie Santiago",1987-09-13,30.9240246,,"United States","Tanna Aljoe",1993-10-11,24.8459959,69,"United States","Q38","Carissa Whalen",1992-04-26,26.3052704,,"United States","Crystal Meadows",1981-12-24,36.6433949,67,"United States","Q27","18-21, 21-12, 15-6","0:56","Qualifier Bracket","Round 2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"AVP","Manhattan Beach","United States",2018,2018-08-16,"W",88,"Alexa Strange",1994-06-10,24.183436,72,"United States","Emily Hartong",1992-02-04,26.5297741,74,"United States","22, Q6","Katie Pyles",1995-09-14,22.9212868,,"United States","Nola Basey",1995-05-09,23.2717317,,"United States","Q59","21-15, 21-10","0:42","Qualifier Bracket","Round 2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"AVP","Manhattan Beach","United States",2018,2018-08-16,"W",89,"Kimberly Hildreth",1991-01-21,27.5674196,,"United States","Sarah Schermerhorn",1988-11-23,29.7275838,,"United States","23, Q7","Dominique Montijo",1991-10-31,26.7926078,,"United States","Kirsten Overton",1994-10-27,23.8028747,72,"United States","Q58","21-10, 21-10","0:31","Qualifier Bracket","Round 2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"AVP","Manhattan Beach","United States",2018,2018-08-16,"W",90,"Olivia Bakos",2002-06-23,16.1478439,,"United States","Peri Brennan",2002-06-27,16.1368925,,"United States","Q26","Lisa Reed",1990-07-09,28.1040383,,"United States","Victoria Dennis",1994-08-08,24.0219028,75,"United States","Q39","21-15, 21-15","0:52","Qualifier Bracket","Round 2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"AVP","Manhattan Beach","United States",2018,2018-08-16,"W",91,"Audrey Nourse",2001-04-28,17.3004791,,"United States","Nicole Nourse",2001-04-28,17.3004791,,"United States","Q23","Kristin Grissom",1992-08-13,26.0068446,73,"United States","Lacey Fuller",1992-08-26,25.9712526,66,"United States","Q42","19-21, 21-15, 15-7","1:01","Qualifier Bracket","Round 2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"AVP","Manhattan Beach","United States",2018,2018-08-16,"W",92,"Avery Bush",1993-12-04,24.698152,69,"United States","Camie Manwill",1987-09-22,30.899384,72,"United States","Q10","Allison Griffiths",1993-06-28,25.1334702,73,"United States","Deketa Stubblefield",1986-11-13,31.7563313,,"United States","Q55","21-14, 21-12","0:39","Qualifier Bracket","Round 2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
