"circuit","tournament","country","year","date","gender","match_num","w_player1","w_p1_birthdate","w_p1_age","w_p1_hgt","w_p1_country","w_player2","w_p2_birthdate","w_p2_age","w_p2_hgt","w_p2_country","w_rank","l_player1","l_p1_birthdate","l_p1_age","l_p1_hgt","l_p1_country","l_player2","l_p2_birthdate","l_p2_age","l_p2_hgt","l_p2_country","l_rank","score","duration","bracket","round","w_p1_tot_attacks","w_p1_tot_kills","w_p1_tot_errors","w_p1_tot_hitpct","w_p1_tot_aces","w_p1_tot_serve_errors","w_p1_tot_blocks","w_p1_tot_digs","w_p2_tot_attacks","w_p2_tot_kills","w_p2_tot_errors","w_p2_tot_hitpct","w_p2_tot_aces","w_p2_tot_serve_errors","w_p2_tot_blocks","w_p2_tot_digs","l_p1_tot_attacks","l_p1_tot_kills","l_p1_tot_errors","l_p1_tot_hitpct","l_p1_tot_aces","l_p1_tot_serve_errors","l_p1_tot_blocks","l_p1_tot_digs","l_p2_tot_attacks","l_p2_tot_kills","l_p2_tot_errors","l_p2_tot_hitpct","l_p2_tot_aces","l_p2_tot_serve_errors","l_p2_tot_blocks","l_p2_tot_digs"
"AVP","Chicago","United States",2019,2019-08-29,"M",2,"Chris Luers",1974-07-30,45.0814511,75,"United States","Ryan Lehmann",1990-07-10,29.1362081,,"United States","Q32","Bryce Mayer",1990-08-06,29.0622861,74,"United States","Patrick Bolton",1981-10-02,37.9055441,77,"United States","Q33","21-15, 21-15",,"Qualifier Bracket","Round 1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"AVP","Chicago","United States",2019,2019-08-29,"M",6,"Aaren Rice",1989-03-11,30.4668036,,"United States","Marshall Brock",1991-02-07,28.5557837,,"United States","Q24","Chris Fleming",1987-04-03,32.4052019,72,"United States","Noel Khirsukhani",1975-12-08,43.7234771,74,"United States","Q41","21-18, 21-18",,"Qualifier Bracket","Round 1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"AVP","Chicago","United States",2019,2019-08-29,"M",7,"Hagen Smith",1995-04-10,24.386037,73,"United States","Jonah Seif",1994-10-30,24.8295688,,"United States","Q40","Garrett Roberts",1994-01-07,25.6399726,,"United States","Philip Burrow",1984-05-29,35.2498289,,"United States","Q25","21-19, 21-14",,"Qualifier Bracket","Round 1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"AVP","Chicago","United States",2019,2019-08-29,"M",10,"Ryan Walker",1985-05-12,34.2970568,,"United States","Silila Tucker ",1995-03-22,24.4380561,,"United States","Q28","Charles Porter",1994-01-20,25.6043806,73,"United States","Clark Porter",1989-03-14,30.45859,75,"United States","Q37","21-10, 19-21, 19-17",,"Qualifier Bracket","Round 1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"AVP","Chicago","United States",2019,2019-08-29,"M",15,"Adam Wienckowski",1999-01-01,20.6570842,,"United States","Timothy Brewster",2000-03-23,19.4332649,,"United States","Q29","David Arnold",1992-04-06,27.394935,,"United States","Kevin Knight",1992-06-04,27.2334018,,"United States","Q36","26-28, 21-18, 15-13",,"Qualifier Bracket","Round 1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"AVP","Chicago","United States",2019,2019-08-29,"M",18,"John-Michael Plummer",1990-03-28,29.4209446,,"United States","Matt Blanke",1990-09-06,28.9774127,74,"United States","Q30","Brandon Joyner",1988-08-12,31.0444901,,"United States","Kyle Stevenson",1992-08-16,27.0335387,76,"United States","Q35","23-21, 21-16",,"Qualifier Bracket","Round 1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"AVP","Chicago","United States",2019,2019-08-29,"M",23,"Max Martin",1990-03-10,29.4702259,,"United States","Tomas Goldsmith",1990-12-23,28.6817248,,"United States","Q27","Ian Bicko",1991-03-02,28.4928131,,"United States","John Hamilton",1993-05-25,26.2614648,,"United States","Q38","21-11, 21-18",,"Qualifier Bracket","Round 1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"AVP","Chicago","United States",2019,2019-08-29,"M",26,"Buddy Krueger",1987-10-04,31.9014374,,"United States","Jhony Salvador",1993-03-20,26.4421629,,"United States","Q39","Justin Phipps",1978-05-09,41.3059548,74,"United States","Michael Groselle",1990-12-28,28.6680356,,"United States","Q26","21-16, 21-19",,"Qualifier Bracket","Round 1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"AVP","Chicago","United States",2019,2019-08-29,"M",27,"Charles VanRees",1989-10-07,29.8918549,,"United States","Danny Cook",1981-06-23,38.1820671,77,"United States","Q42","Joe Ruzick",1988-06-13,31.2087611,72,"United States","Jonathan Drake",1989-10-25,29.8425736,74,"United States","Q23","21-13, 21-16",,"Qualifier Bracket","Round 1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"AVP","Chicago","United States",2019,2019-08-29,"M",31,"Dillon Cox",1995-06-07,24.2272416,,"United States","Ray Birtcher",1992-02-20,27.5208761,,"United States","Q34","Alex Diaz",1991-09-14,27.9561944,,"United States","Yenser Del Nogal",1987-04-27,32.3394935,,"United States","Q31","24-22, 15-21, 15-7",,"Qualifier Bracket","Round 1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
